duplicate_group_size,exact_pair_group_count,rows_in_groups,duplicate_rows_after_first
2,80834,161668,80834
3,5528,16584,11056
4,2200,8800,6600
5,1254,6270,5016
6,760,4560,3800
7,528,3696,3168
8,342,2736,2394
9,301,2709,2408
10,247,2470,2223
11,169,1859,1690
12,141,1692,1551
13,114,1482,1368
14,103,1442,1339
15,90,1350,1260
16,86,1376,1290
17,87,1479,1392
18,48,864,816
19,47,893,846
20,61,1220,1159
21,46,966,920
22,40,880,840
23,39,897,858
24,45,1080,1035
25,30,750,720
26,24,624,600
27,24,648,624
28,25,700,675
29,22,638,616
30,24,720,696
31,18,558,540
32,24,768,744
33,15,495,480
34,19,646,627
35,21,735,714
36,18,648,630
37,24,888,864
38,8,304,296
39,17,663,646
40,12,480,468
41,12,492,480
42,10,420,410
43,10,430,420
44,7,308,301
45,6,270,264
46,10,460,450
47,12,564,552
48,4,192,188
49,5,245,240
50,3,150,147
51,5,255,250
52,6,312,306
53,12,636,624
54,10,540,530
55,5,275,270
56,5,280,275
57,4,228,224
58,1,58,57
59,9,531,522
60,8,480,472
61,8,488,480
62,7,434,427
64,6,384,378
65,4,260,256
66,4,264,260
67,5,335,330
68,1,68,67
69,4,276,272
70,4,280,276
71,1,71,70
72,1,72,71
73,3,219,216
74,3,222,219
75,3,225,222
76,2,152,150
77,4,308,304
78,1,78,77
79,3,237,234
80,4,320,316
81,1,81,80
82,2,164,162
83,1,83,82
84,5,420,415
85,3,255,252
86,2,172,170
87,2,174,172
88,1,88,87
89,4,356,352
90,1,90,89
91,1,91,90
92,5,460,455
93,2,186,184
94,1,94,93
95,3,285,282
96,3,288,285
97,1,97,96
98,1,98,97
100,1,100,99
101,2,202,200
102,1,102,101
104,1,104,103
105,1,105,104
106,2,212,210
107,2,214,212
111,1,111,110
112,1,112,111
113,2,226,224
114,1,114,113
115,1,115,114
116,1,116,115
118,1,118,117
119,1,119,118
120,2,240,238
122,1,122,121
124,2,248,246
125,2,250,248
126,1,126,125
127,1,127,126
128,1,128,127
129,2,258,256
130,2,260,258
131,2,262,260
133,1,133,132
135,1,135,134
139,1,139,138
142,1,142,141
145,1,145,144
148,1,148,147
149,2,298,296
150,4,600,596
156,2,312,310
157,1,157,156
159,1,159,158
161,1,161,160
162,1,162,161
163,1,163,162
165,2,330,328
169,1,169,168
171,1,171,170
173,3,519,516
174,1,174,173
180,1,180,179
183,1,183,182
192,1,192,191
193,2,386,384
196,1,196,195
197,1,197,196
199,1,199,198
201,1,201,200
202,5,1010,1005
208,1,208,207
214,1,214,213
221,1,221,220
222,2,444,442
234,1,234,233
238,1,238,237
241,1,241,240
243,1,243,242
246,1,246,245
249,1,249,248
255,2,510,508
258,1,258,257
265,1,265,264
266,1,266,265
267,2,534,532
271,1,271,270
280,1,280,279
293,1,293,292
296,1,296,295
304,1,304,303
305,1,305,304
313,1,313,312
317,1,317,316
322,1,322,321
367,1,367,366
382,1,382,381
384,1,384,383
386,1,386,385
399,1,399,398
412,1,412,411
413,1,413,412
418,1,418,417
420,1,420,419
421,1,421,420
422,1,422,421
505,1,505,504
548,1,548,547
564,1,564,563
598,1,598,597
606,1,606,605
607,1,607,606
709,1,709,708
779,1,779,778
863,1,863,862
865,1,865,864
904,1,904,903
938,1,938,937
942,1,942,941
948,1,948,947
952,1,952,951
1005,1,1005,1004
1037,1,1037,1036
1651,1,1651,1650
1751,1,1751,1750
2411,1,2411,2410
3089,1,3089,3088
5208,1,5208,5207
5508,1,5508,5507
