group,language,metric,row_count,records,rows_per_100k
TRAIN · EN_TO_KO,EN,cross_script,2,1200307,0.1666240386834368
TRAIN · EN_TO_KO,EN,zero_width,45,1200307,3.749040870377329
TRAIN · EN_TO_KO,KO,cross_script,107706,1200307,8973.204355219123
TRAIN · KO_TO_EN,EN,cross_script,15,1200000,1.25
TRAIN · KO_TO_EN,EN,expected_script_absent,1361,1200000,113.41666666666666
TRAIN · KO_TO_EN,EN,html_like,31,1200000,2.583333333333333
TRAIN · KO_TO_EN,KO,cross_script,101667,1200000,8472.25
TRAIN · KO_TO_EN,KO,expected_script_absent,3842,1200000,320.16666666666663
TRAIN · KO_TO_EN,KO,html_like,20,1200000,1.6666666666666667
TRAIN · KO_TO_EN,KO,replacement_char,4,1200000,0.3333333333333333
TRAIN · KO_TO_EN,KO,zero_width,5,1200000,0.4166666666666667
VALID · EN_TO_KO,EN,zero_width,41,150038,27.3264106426372
VALID · EN_TO_KO,KO,cross_script,18324,150038,12212.90606379717
VALID · KO_TO_EN,EN,cross_script,3,150000,2.0
VALID · KO_TO_EN,EN,expected_script_absent,177,150000,118.0
VALID · KO_TO_EN,EN,html_like,7,150000,4.666666666666666
VALID · KO_TO_EN,EN,replacement_char,1,150000,0.6666666666666666
VALID · KO_TO_EN,KO,cross_script,12857,150000,8571.333333333334
VALID · KO_TO_EN,KO,expected_script_absent,487,150000,324.6666666666667
VALID · KO_TO_EN,KO,html_like,6,150000,4.0
VALID · KO_TO_EN,KO,replacement_char,1,150000,0.6666666666666666
